8769,Matthias Andreas Baumann,M,29.0,176.0,69.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
5885,Au Sin Ying,F,23.0,167.0,66.0,Hong Kong,HKG,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Sabre, Individual",no value
4994,Xavier Areny Fite,M,18.0,no value,no value,Andorra,AND,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,no value
11051,Gonda Joyce Betrix (Butters-),F,48.0,no value,no value,South Africa,RSA,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",no value
25801,Thomas Bryce Dawson,M,21.0,168.0,57.0,Great Britain,GBR,1964 Winter,1964,Winter,Innsbruck,Speed Skating,Speed Skating Men's 500 metres,no value
30627,Peter John Duncan,M,17.0,no value,no value,South Africa,RSA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 400 metres Freestyle,no value
17318,Chiara Cainero,F,30.0,171.0,81.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Women's Skeet,Gold
10763,Aage Berntsen,M,34.0,no value,no value,Denmark,DEN,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's epee, Individual",no value
8063,Ernesto Horacio Barreiros,M,22.0,165.0,65.0,Argentina,ARG,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,no value
1869,Medhadi Al-Dosari,M,16.0,160.0,no value,Saudi Arabia,KSA,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",no value
27366,"William Solon ""Bill"" Dellinger",M,26.0,175.0,62.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 5,000 metres",no value
11278,Roberta Bianconi,F,27.0,176.0,76.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver
9044,Joy Wendy Beasley,F,13.0,165.0,54.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,no value
35256,Julia Figueroa Pea,F,25.0,150.0,48.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,no value
373,Tadashi Abe,M,29.0,190.0,80.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,no value
20727,Darya Yaroslavovna Chikunova,F,17.0,177.0,59.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,no value
14769,Ralf Braun,M,27.0,192.0,86.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Backstroke,no value
30540,Gisela Alejandra Dulko (-Gago),F,27.0,170.0,56.0,Argentina,ARG,2012 Summer,2012,Summer,London,Tennis,Tennis Women's Doubles,no value
3267,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,PAN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,no value
33791,John Fairbairn,M,30.0,177.0,75.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Skeleton,Skeleton Men's Skeleton,no value
24460,Lester Edward Cutler,M,28.0,191.0,76.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",no value
3023,Ana Isabel Alonso Nieto,F,37.0,152.0,46.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Marathon,no value
17029,Thomas Hedvin Byberg,M,31.0,no value,no value,Norway,NOR,1948 Winter,1948,Winter,Sankt Moritz,Speed Skating,Speed Skating Men's 500 metres,Silver
21004,Choi Gyeong-Hui,F,22.0,166.0,61.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,no value
33769,Matthias Fahrig,M,18.0,165.0,55.0,Germany,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,no value
15571,"Philip Andrew ""Phil"" Brown",M,22.0,180.0,73.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,no value
13698,Jan Bos,M,22.0,190.0,83.0,Netherlands,NED,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,000 metres",Silver
24243,Aurore Cuinet-Jan,F,24.0,175.0,62.0,France,FRA,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's Sprint,no value
25262,Olga Valeryevna Danilova,F,31.0,168.0,56.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit,no value
32927,Hanne Mandsfeldt Eriksen,F,23.0,170.0,67.0,Denmark,DEN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
21432,Chung Pao-Ming,M,22.0,165.0,48.0,Chinese Taipei,TPE,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Flyweight,no value
15252,Nejc Brodar,M,23.0,180.0,70.0,Slovenia,SLO,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,no value
23517,James Couttet,M,26.0,168.0,67.0,France,FRA,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
15558,"Laurence Leslie ""Laurie"" Brown",M,23.0,179.0,78.0,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,no value
17190,David Cabrero Buenache,M,23.0,180.0,85.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Keirin,no value
4838,Istvn Aranyos,M,22.0,169.0,63.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,no value
4102,Pavlo Andriyovych Andreiev,M,28.0,167.0,54.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 10,000 metres",no value
9294,"Janice May ""Jan"" Bedford (-Pyke)",F,19.0,151.0,51.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,no value
5861,Philip Mawuli  Attipoe,M,21.0,173.0,68.0,Ghana,GHA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,no value
26291,Ana Elena de la Portilla,F,18.0,162.0,62.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,no value
22422,Enrico Colli,M,27.0,no value,no value,Italy,ITA,1924 Winter,1924,Winter,Chamonix,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,no value
17242,"Ricardo ""Cadum"" Cardoso Guimares",M,28.0,200.0,92.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,no value
17631,Michelle A. Cameron (-Coulter),F,25.0,174.0,59.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
